GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TeaStore Persistence,tools.descartes.teastore.persistence.daemons,InitialDataGenerationDaemon,75,0,4,0,28,0,7,0,5,0
TeaStore Persistence,tools.descartes.teastore.persistence.domain.converters,LocalDateAttributeConverter,4,13,2,2,2,5,2,3,0,3
TeaStore Persistence,tools.descartes.teastore.persistence.domain.converters,LocalDateTimeAttributeConverter,4,13,2,2,2,5,2,3,0,3
TeaStore Persistence,tools.descartes.teastore.persistence.repository,DataGenerator,103,1594,13,27,29,133,15,26,8,13
TeaStore Persistence,tools.descartes.teastore.persistence.repository,CacheManager,124,37,6,0,32,16,10,7,7,7
TeaStore Persistence,tools.descartes.teastore.persistence.repository,DatabaseManagementEntity,6,10,0,0,2,5,2,2,2,2
TeaStore Persistence,tools.descartes.teastore.persistence.repository,AbstractPersistenceRepository,4,109,2,10,1,36,2,12,0,8
TeaStore Persistence,tools.descartes.teastore.persistence.repository,EMFManager,106,57,13,5,35,21,8,7,1,5
TeaStore Persistence,tools.descartes.teastore.persistence.servlet,IndexServlet,21,0,0,0,8,0,3,0,3,0
TeaStore Persistence,tools.descartes.teastore.persistence.rest,DatabaseGenerationEndpoint,136,0,8,0,36,0,12,0,8,0
TeaStore Persistence,tools.descartes.teastore.persistence.rest,UserEndpoint,96,0,14,0,25,0,14,0,7,0
TeaStore Persistence,tools.descartes.teastore.persistence.rest,OrderEndpoint,107,0,12,0,25,0,13,0,7,0
TeaStore Persistence,tools.descartes.teastore.persistence.rest,OrderItemEndpoint,147,0,16,0,33,0,16,0,8,0
TeaStore Persistence,tools.descartes.teastore.persistence.rest,ProductEndpoint,131,0,16,0,31,0,16,0,8,0
TeaStore Persistence,tools.descartes.teastore.persistence.rest,CategoryEndpoint,67,0,8,0,17,0,10,0,6,0
TeaStore Persistence,tools.descartes.teastore.persistence.rest,CacheManagerEndpoint,37,0,2,0,14,0,5,0,4,0
TeaStore Persistence,tools.descartes.teastore.persistence.domain,ProductRepository,53,143,7,5,16,42,7,6,2,5
TeaStore Persistence,tools.descartes.teastore.persistence.domain,PersistenceOrderItem,20,39,0,0,8,17,7,9,7,9
TeaStore Persistence,tools.descartes.teastore.persistence.domain,PersistenceUser,4,79,0,0,2,29,1,13,1,13
TeaStore Persistence,tools.descartes.teastore.persistence.domain,PersistenceProduct,11,48,0,0,4,20,4,11,4,11
TeaStore Persistence,tools.descartes.teastore.persistence.domain,CategoryRepository,3,71,1,1,1,22,2,4,1,4
TeaStore Persistence,tools.descartes.teastore.persistence.domain,OrderRepository,57,133,6,2,17,37,6,4,2,4
TeaStore Persistence,tools.descartes.teastore.persistence.domain,PersistenceCategory,4,36,0,0,2,14,1,8,1,8
TeaStore Persistence,tools.descartes.teastore.persistence.domain,UserRepository,11,124,4,4,3,37,5,5,1,5
TeaStore Persistence,tools.descartes.teastore.persistence.domain,PersistenceOrder,16,144,2,6,7,52,7,28,5,26
TeaStore Persistence,tools.descartes.teastore.persistence.domain,OrderItemRepository,61,145,9,5,18,41,9,5,2,5
