GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-route-plan-service,plan.config,SecurityConfig,79,0,0,0,16,0,4,0,4,0
ts-route-plan-service,plan.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-route-plan-service,plan.service,RoutePlanServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-route-plan-service,plan.service,RoutePlanServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-route-plan-service,plan.service,RoutePlanServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-route-plan-service,plan.service,RoutePlanServiceImpl.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
ts-route-plan-service,plan.service,RoutePlanServiceImpl.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
ts-route-plan-service,plan.service,RoutePlanServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-route-plan-service,plan.service,RoutePlanServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-route-plan-service,plan.service,RoutePlanServiceImpl.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
ts-route-plan-service,plan.service,RoutePlanServiceImpl,575,466,35,11,119,97,25,8,2,8
ts-route-plan-service,plan.controller,RoutePlanController,0,108,0,0,0,9,0,6,0,6
ts-route-plan-service,plan,RoutePlanApplication,11,0,0,0,4,0,3,0,3,0
